S1_over_S0,S2_over_S0,S3_over_S0
-9.5153534787673e-18,1,4.84798718599957e-18
-4.22164156750058e-17,0.848987967375344,-0.443814092482009
2.01297496174727e-17,0.480855499409217,-0.69151536161173
2.93480279385462e-17,0.0857276314212121,-0.674187584114523
1.7327873437781e-17,-0.17450575571494,-0.4720497476909
1.10034672755231e-16,-0.253302391137991,-0.229837725470932
-5.27941652727039e-17,-0.206276960739256,-0.0544249373084776
-1.16096023515105e-16,-0.119181564791036,0.0266295028151997
-9.46889773834742e-17,-0.0492216535383074,0.0411499870395839
-5.61014245567341e-17,-0.012030978606162,0.028498066255675
1.64036282310946e-16,0.0010102307955935,0.0136510280422771
1.22923667954874e-16,0.00288365302714462,0.00475277610230417
1.34434662806952e-17,0.0017599730022871,0.00109362906247451
-4.24987766689519e-17,0.000706045618387625,6.28484368855407e-05
-7.15784699164275e-17,0.000207002144008216,-8.17270485728958e-05
-8.07166763501011e-17,4.28886350793707e-05,-4.76785838581591e-05
-1.6719422609891e-16,4.57511376034016e-06,-1.63320634418839e-05
-3.28417021771491e-17,-7.50562312987111e-07,-4.04803274287074e-06
-3.05276244697432e-17,-5.4529464045318e-07,-7.37545153105659e-07
-1.01665571478355e-16,-1.66000918195807e-07,-8.73061730401541e-08
-7.24511832793841e-17,-3.51768420980649e-08,-1.32793098096403e-09
-8.30784334517654e-17,-5.57347500842932e-09,2.38940999387795e-09
1.50498274755624e-17,-6.37218466972914e-10,7.16444580910411e-10
2.1529501812477e-17,-4.00800151949834e-11,1.33256286935524e-10
-4.56289238417615e-17,2.55623738787975e-12,1.83597315983948e-11
6.50431670070534e-17,1.21241157091317e-12,1.91504637197615e-12
-9.49506563196869e-17,2.12092878703639e-13,1.40467487841719e-13
1.0034854654998e-16,2.58375620636057e-14,4.39155663239236e-15
1.04810755082271e-16,2.40548851015027e-15,-5.96949356573607e-16
1.23898347604878e-16,1.71320795931351e-16,-1.30148662254777e-16
-6.48273641296762e-17,8.51999432292323e-18,-1.48776076637272e-17
